"year"	"year_bce"	"intercalary"	"begins"	"ends"	"length"	"solstice"	"months"	"month_lengths"	"prytanies"
-319	"320/319 BCE"	"O"	"BCE 0320-Jul-08"	"BCE 0319-Jun-27"	355	"BCE 0320-Jun-27"	"Jul-08 Aug-07 Sep-05 Oct-05 Nov-04 Dec-03 Jan-02 Feb-01 Mar-03 Apr-01 May-01 May-30"	"FhFFhFFFhFhh"	"Jul-08 Aug-13 Sep-18 Oct-24 Nov-29 Jan-03 Feb-07 Mar-14 Apr-18 May-23"
-318	"319/318 BCE"	"I"	"BCE 0319-Jun-28"	"BCE 0318-Jul-16"	384	"BCE 0319-Jun-27"	"Jun-28 Jul-28 Aug-26 Sep-24 Oct-24 Nov-22 Dec-22 Jan-21 Feb-20 Mar-21 Apr-20 May-19 Jun-18"	"FhhFhFFFhFhFh"	"Jun-28 Aug-06 Sep-14 Oct-23 Dec-01 Jan-08 Feb-15 Mar-25 May-02 Jun-09"
-317	"318/317 BCE"	"O"	"BCE 0318-Jul-17"	"BCE 0317-Jul-05"	355	"BCE 0318-Jun-28"	"Jul-17 Aug-16 Sep-14 Oct-13 Nov-12 Dec-11 Jan-10 Feb-09 Mar-10 Apr-08 May-08 Jun-06"	"FhhFhFFFhFhF"	"Jul-17 Aug-22 Sep-27 Nov-02 Dec-08 Jan-12 Feb-16 Mar-22 Apr-26 May-31"
-316	"317/316 BCE"	"I"	"BCE 0317-Jul-06"	"BCE 0316-Jul-24"	384	"BCE 0317-Jun-27"	"Jul-06 Aug-04 Sep-03 Oct-02 Oct-31 Nov-30 Dec-29 Jan-28 Feb-27 Mar-28 Apr-27 May-26 Jun-25"	"hFhhFhFFhFhFF"	"Jul-06 Aug-14 Sep-22 Oct-31 Dec-09 Jan-16 Feb-23 Apr-02 May-10 Jun-17"
-315	"316/315 BCE"	"O"	"BCE 0316-Jul-25"	"BCE 0315-Jul-13"	354	"BCE 0316-Jun-27"	"Jul-25 Aug-23 Sep-22 Oct-21 Nov-20 Dec-19 Jan-17 Feb-16 Mar-17 Apr-16 May-16 Jun-14"	"hFhFhhFhFFhF"	"Jul-25 Aug-30 Oct-05 Nov-10 Dec-16 Jan-20 Feb-24 Mar-31 May-05 Jun-09"
-314	"315/314 BCE"	"O"	"BCE 0315-Jul-14"	"BCE 0314-Jul-02"	354	"BCE 0315-Jun-27"	"Jul-14 Aug-12 Sep-11 Oct-11 Nov-09 Dec-09 Jan-07 Feb-05 Mar-07 Apr-05 May-05 Jun-03"	"hFFhFhhFhFhF"	"Jul-14 Aug-19 Sep-24 Oct-30 Dec-05 Jan-09 Feb-13 Mar-20 Apr-24 May-29"
-313	"314/313 BCE"	"I"	"BCE 0314-Jul-03"	"BCE 0313-Jul-20"	384	"BCE 0314-Jun-28"	"Jul-03 Aug-01 Aug-31 Sep-30 Oct-30 Nov-28 Dec-28 Jan-26 Feb-25 Mar-25 Apr-23 May-23 Jun-21"	"hFFFhFhFhhFhF"	"Jul-03 Aug-11 Sep-19 Oct-28 Dec-06 Jan-13 Feb-20 Mar-29 May-06 Jun-13"
-312	"313/312 BCE"	"O"	"BCE 0313-Jul-21"	"BCE 0312-Jul-09"	354	"BCE 0313-Jun-27"	"Jul-21 Aug-19 Sep-18 Oct-18 Nov-16 Dec-16 Jan-15 Feb-13 Mar-15 Apr-13 May-12 Jun-11"	"hFFhFFhFhhFh"	"Jul-21 Aug-26 Oct-01 Nov-06 Dec-12 Jan-16 Feb-20 Mar-27 May-01 Jun-05"
-311	"312/311 BCE"	"O"	"BCE 0312-Jul-10"	"BCE 0311-Jun-28"	354	"BCE 0312-Jun-27"	"Jul-10 Aug-08 Sep-07 Oct-07 Nov-05 Dec-05 Jan-04 Feb-03 Mar-04 Apr-03 May-02 May-31"	"hFFhFFFhFhhh"	"Jul-10 Aug-15 Sep-20 Oct-26 Dec-01 Jan-05 Feb-09 Mar-16 Apr-20 May-25"
-310	"311/310 BCE"	"I"	"BCE 0311-Jun-29"	"BCE 0310-Jul-18"	385	"BCE 0311-Jun-27"	"Jun-29 Jul-29 Aug-27 Sep-26 Oct-25 Nov-24 Dec-24 Jan-23 Feb-22 Mar-23 Apr-22 May-21 Jun-19"	"FhFhFFFFhFhhF"	"Jun-29 Aug-07 Sep-15 Oct-24 Dec-02 Jan-09 Feb-16 Mar-26 May-03 Jun-10"
-309	"310/309 BCE"	"O"	"BCE 0310-Jul-19"	"BCE 0309-Jul-06"	354	"BCE 0310-Jun-28"	"Jul-19 Aug-17 Sep-15 Oct-15 Nov-13 Dec-13 Jan-12 Feb-11 Mar-11 Apr-10 May-09 Jun-08"	"hhFhFFFhFhFh"	"Jul-19 Aug-24 Sep-29 Nov-04 Dec-10 Jan-14 Feb-18 Mar-24 Apr-28 Jun-02"
-308	"309/308 BCE"	"I"	"BCE 0309-Jul-07"	"BCE 0308-Jul-25"	384	"BCE 0309-Jun-27"	"Jul-07 Aug-06 Sep-04 Oct-03 Nov-02 Dec-01 Dec-31 Jan-30 Feb-28 Mar-30 Apr-29 May-28 Jun-27"	"FhhFhFFhFFhFh"	"Jul-07 Aug-15 Sep-23 Nov-01 Dec-10 Jan-17 Feb-24 Apr-03 May-11 Jun-18"
-307	"308/307 BCE"	"O"	"BCE 0308-Jul-26"	"BCE 0307-Jul-15"	355	"BCE 0308-Jun-27"	"Jul-26 Aug-25 Sep-23 Oct-22 Nov-21 Dec-20 Jan-19 Feb-17 Mar-19 Apr-18 May-17 Jun-16"	"FhhFhFhFFhFF"	"Jul-26 Aug-31 Oct-06 Nov-11 Dec-17 Jan-21 Feb-25 Apr-01 May-06 Jun-10"
-306	"307/306 BCE"	"O"	"BCE 0307-Jul-16"	"BCE 0306-Jul-04"	354	"BCE 0307-Jun-27"	"Jul-16 Aug-14 Sep-13 Oct-12 Nov-10 Dec-10 Jan-08 Feb-07 Mar-08 Apr-07 May-06 Jun-05"	"hFhhFhFhFhFF"	"Jul-16 Aug-14 Sep-13 Oct-12 Nov-10 Dec-10 Jan-08 Feb-07 Mar-08 Apr-07 May-06 Jun-05"
-305	"306/305 BCE"	"I"	"BCE 0306-Jul-05"	"BCE 0305-Jul-21"	383	"BCE 0306-Jun-28"	"Jul-05 Aug-03 Sep-02 Oct-01 Oct-31 Nov-30 Dec-29 Jan-27 Feb-26 Mar-26 Apr-25 May-24 Jun-23"	"hFhFFhhFhFhFh"	"Jul-05 Aug-06 Sep-07 Oct-09 Nov-10 Dec-12 Jan-13 Feb-14 Mar-17 Apr-18 May-20 Jun-21"
-304	"305/304 BCE"	"O"	"BCE 0305-Jul-22"	"BCE 0304-Jul-10"	354	"BCE 0305-Jun-27"	"Jul-22 Aug-21 Sep-20 Oct-19 Nov-18 Dec-18 Jan-16 Feb-15 Mar-16 Apr-14 May-14 Jun-12"	"FFhFFhFhhFhh"	"Jul-22 Aug-21 Sep-20 Oct-19 Nov-18 Dec-18 Jan-16 Feb-15 Mar-16 Apr-14 May-14 Jun-12"
-303	"304/303 BCE"	"O"	"BCE 0304-Jul-11"	"BCE 0303-Jun-30"	355	"BCE 0304-Jun-27"	"Jul-11 Aug-10 Sep-09 Oct-08 Nov-07 Dec-07 Jan-06 Feb-04 Mar-06 Apr-04 May-03 Jun-02"	"FFhFFFhFhhFh"	"Jul-11 Aug-10 Sep-09 Oct-08 Nov-07 Dec-07 Jan-06 Feb-04 Mar-06 Apr-04 May-03 Jun-02"
-302	"303/302 BCE"	"I"	"BCE 0303-Jul-01"	"BCE 0302-Jul-19"	384	"BCE 0303-Jun-27"	"Jul-01 Jul-30 Aug-29 Sep-27 Oct-27 Nov-26 Dec-26 Jan-25 Feb-23 Mar-25 Apr-23 May-22 Jun-21"	"hFhFFFFhFhhFh"	"Jul-01 Aug-02 Sep-03 Oct-05 Nov-06 Dec-08 Jan-09 Feb-10 Mar-14 Apr-15 May-17 Jun-18"
-301	"302/301 BCE"	"O"	"BCE 0302-Jul-20"	"BCE 0301-Jul-08"	355	"BCE 0302-Jun-28"	"Jul-20 Aug-18 Sep-17 Oct-16 Nov-15 Dec-15 Jan-14 Feb-12 Mar-13 Apr-12 May-11 Jun-09"	"hFhFFFhFFhhF"	"Jul-20 Aug-18 Sep-17 Oct-16 Nov-15 Dec-15 Jan-14 Feb-12 Mar-13 Apr-12 May-11 Jun-09"
-300	"301/300 BCE"	"O"	"BCE 0301-Jul-09"	"BCE 0300-Jun-27"	354	"BCE 0301-Jun-27"	"Jul-09 Aug-07 Sep-05 Oct-05 Nov-03 Dec-03 Jan-02 Jan-31 Mar-02 Apr-01 Apr-30 May-30"	"hhFhFFhFFhFh"	"Jul-09 Aug-07 Sep-05 Oct-05 Nov-03 Dec-03 Jan-02 Jan-31 Mar-02 Apr-01 Apr-30 May-30"
-299	"300/299 BCE"	"I"	"BCE 0300-Jun-28"	"BCE 0299-Jul-16"	384	"BCE 0300-Jun-27"	"Jun-28 Jul-28 Aug-26 Sep-24 Oct-24 Nov-22 Dec-22 Jan-20 Feb-19 Mar-21 Apr-19 May-19 Jun-18"	"FhhFhFhFFhFFh"	"Jun-28 Jul-30 Aug-31 Oct-02 Nov-03 Dec-05 Jan-06 Feb-07 Mar-11 Apr-12 May-14 Jun-15"
