"year"	"year_bce"	"intercalary"	"begins"	"ends"	"length"	"solstice"	"months"	"month_lengths"	"prytanies"
-360	"361/360 BCE"	"O"	"BCE 0361-Jul-12"	"BCE 0360-Jun-30"	354	"BCE 0361-Jun-27"	"Jul-12 Aug-11 Sep-09 Oct-08 Nov-07 Dec-06 Jan-05 Feb-03 Mar-05 Apr-04 May-03 Jun-02"	"FhhFhFhFFhFh"	"Jul-12 Aug-17 Sep-22 Oct-28 Dec-03 Jan-07 Feb-11 Mar-18 Apr-22 May-27"
-359	"360/359 BCE"	"I"	"BCE 0360-Jul-01"	"BCE 0359-Jul-19"	384	"BCE 0360-Jun-28"	"Jul-01 Jul-31 Aug-29 Sep-28 Oct-27 Nov-26 Dec-25 Jan-24 Feb-22 Mar-24 Apr-22 May-22 Jun-20"	"FhFhFhFhFhFhF"	"Jul-01 Aug-09 Sep-17 Oct-26 Dec-04 Jan-11 Feb-18 Mar-28 May-05 Jun-12"
-358	"359/358 BCE"	"O"	"BCE 0359-Jul-20"	"BCE 0358-Jul-08"	354	"BCE 0359-Jun-28"	"Jul-20 Aug-19 Sep-17 Oct-17 Nov-16 Dec-15 Jan-13 Feb-12 Mar-13 Apr-12 May-11 Jun-10"	"FhFFhhFhFhFh"	"Jul-20 Aug-25 Sep-30 Nov-05 Dec-11 Jan-15 Feb-19 Mar-26 Apr-30 Jun-04"
-357	"358/357 BCE"	"I"	"BCE 0358-Jul-09"	"BCE 0357-Jul-26"	384	"BCE 0358-Jun-28"	"Jul-09 Aug-08 Sep-06 Oct-06 Nov-05 Dec-05 Jan-03 Feb-02 Mar-02 Mar-31 Apr-30 May-29 Jun-27"	"FhFFFhFhhFhhF"	"Jul-09 Aug-17 Sep-25 Nov-03 Dec-12 Jan-19 Feb-26 Apr-04 May-12 Jun-19"
-356	"357/356 BCE"	"O"	"BCE 0357-Jul-27"	"BCE 0356-Jul-15"	354	"BCE 0357-Jun-27"	"Jul-27 Aug-25 Sep-24 Oct-24 Nov-23 Dec-22 Jan-21 Feb-20 Mar-21 Apr-19 May-19 Jun-17"	"hFFFhFFhhFhh"	"Jul-27 Sep-01 Oct-07 Nov-12 Dec-18 Jan-22 Feb-26 Apr-02 May-07 Jun-11"
-355	"356/355 BCE"	"O"	"BCE 0356-Jul-16"	"BCE 0355-Jul-05"	355	"BCE 0356-Jun-28"	"Jul-16 Aug-15 Sep-13 Oct-13 Nov-12 Dec-12 Jan-10 Feb-09 Mar-11 Apr-09 May-08 Jun-07"	"FhFFFhFFhhFh"	"Jul-16 Aug-21 Sep-26 Nov-01 Dec-07 Jan-11 Feb-15 Mar-22 Apr-26 May-31"
-354	"355/354 BCE"	"I"	"BCE 0355-Jul-06"	"BCE 0354-Jul-24"	384	"BCE 0355-Jun-28"	"Jul-06 Aug-04 Sep-03 Oct-02 Nov-01 Dec-01 Dec-30 Jan-29 Feb-28 Mar-29 Apr-28 May-27 Jun-26"	"hFhFFhFFhFhFh"	"Jul-06 Aug-14 Sep-22 Oct-31 Dec-09 Jan-16 Feb-23 Apr-02 May-10 Jun-17"
-353	"354/353 BCE"	"O"	"BCE 0354-Jul-25"	"BCE 0353-Jul-13"	355	"BCE 0354-Jun-28"	"Jul-25 Aug-23 Sep-22 Oct-21 Nov-20 Dec-19 Jan-18 Feb-17 Mar-18 Apr-16 May-16 Jun-14"	"hFhFhFFFhFhF"	"Jul-25 Aug-30 Oct-05 Nov-10 Dec-16 Jan-20 Feb-24 Mar-30 May-04 Jun-08"
-352	"353/352 BCE"	"O"	"BCE 0353-Jul-14"	"BCE 0352-Jul-02"	354	"BCE 0353-Jun-27"	"Jul-14 Aug-12 Sep-10 Oct-10 Nov-08 Dec-08 Jan-06 Feb-05 Mar-07 Apr-05 May-05 Jun-04"	"hhFhFhFFhFFh"	"Jul-14 Aug-19 Sep-24 Oct-30 Dec-05 Jan-09 Feb-13 Mar-20 Apr-24 May-29"
-351	"352/351 BCE"	"I"	"BCE 0352-Jul-03"	"BCE 0351-Jul-21"	384	"BCE 0352-Jun-27"	"Jul-03 Aug-02 Aug-31 Sep-29 Oct-29 Nov-27 Dec-27 Jan-25 Feb-24 Mar-25 Apr-24 May-24 Jun-22"	"FhhFhFhFhFFhF"	"Jul-03 Aug-11 Sep-19 Oct-28 Dec-06 Jan-13 Feb-20 Mar-30 May-07 Jun-14"
